timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687533042285,30,/api/v2/item/ice-heal,200,OK,Poke Api - run 1-1,text,true,,18017,135,7,7,https://pokeapi.co/api/v2/item/ice-heal,30,0,0
1687533042303,21,/api/v2/item-fling-effect/burn,200,OK,Poke Api - run 1-4,text,true,,1310,144,7,7,https://pokeapi.co/api/v2/item-fling-effect/burn,21,0,0
1687533042316,27,/api/v2/item-attribute/usable-overworld,200,OK,Poke Api - run 1-1,text,true,,4002,153,7,7,https://pokeapi.co/api/v2/item-attribute/usable-overworld,27,0,0
1687533042324,21,/api/v2/item-pocket/medicine,200,OK,Poke Api - run 1-4,text,true,,2072,142,7,7,https://pokeapi.co/api/v2/item-pocket/medicine,21,0,0
1687533042343,21,/api/v2/item-category/collectibles,200,OK,Poke Api - run 1-1,text,true,,2199,148,7,7,https://pokeapi.co/api/v2/item-category/collectibles,20,0,0
1687533042345,20,/api/v2/location/eterna-forest,200,OK,Poke Api - run 1-4,text,true,,1632,144,7,7,https://pokeapi.co/api/v2/location/eterna-forest,20,0,0
1687533042365,46,/api/v2/location-area/eterna-forest-area,200,OK,Poke Api - run 1-4,text,true,,30319,154,7,7,https://pokeapi.co/api/v2/location-area/eterna-forest-area,28,0,0
1687533042364,49,/api/v2/item-fling-effect/berry-effect,200,OK,Poke Api - run 1-1,text,true,,2971,152,7,7,https://pokeapi.co/api/v2/item-fling-effect/berry-effect,49,0,0
1687533042413,19,/api/v2/item-pocket/key,200,OK,Poke Api - run 1-1,text,true,,2146,137,7,7,https://pokeapi.co/api/v2/item-pocket/key,19,0,0
1687533042411,27,/api/v2/pal-park-area/forest,200,OK,Poke Api - run 1-4,text,true,,12568,142,7,7,https://pokeapi.co/api/v2/pal-park-area/forest,27,0,0
1687533042433,28,/api/v2/location/sunyshore-city,200,OK,Poke Api - run 1-1,text,true,,1609,145,7,7,https://pokeapi.co/api/v2/location/sunyshore-city,28,0,0
1687533042438,283,/api/v2/region/unova,200,OK,Poke Api - run 1-4,text,true,,11205,134,7,7,https://pokeapi.co/api/v2/region/unova,282,0,0
1687533042461,261,/api/v2/location-area/sunyshore-city-area,200,OK,Poke Api - run 1-1,text,true,,15659,155,7,7,https://pokeapi.co/api/v2/location-area/sunyshore-city-area,257,0,0
1687533042721,23,/api/v2/encounter-method/walk,200,OK,Poke Api - run 1-4,text,true,,1509,143,7,7,https://pokeapi.co/api/v2/encounter-method/walk,23,0,0
1687533042722,26,/api/v2/pal-park-area/sea,200,OK,Poke Api - run 1-1,text,true,,7998,139,7,7,https://pokeapi.co/api/v2/pal-park-area/sea,22,0,0
1687533042744,21,/api/v2/encounter-condition/swarm,200,OK,Poke Api - run 1-4,text,true,,1580,147,7,7,https://pokeapi.co/api/v2/encounter-condition/swarm,21,0,0
