timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687344619196,360,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-5,text,true,,3187,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/lisa,360,0,57
1687344619210,352,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-8,text,true,,2350,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/homero,351,0,55
1687344619209,357,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-4,text,true,,3187,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/lisa,357,0,55
1687344619210,518,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-7,text,true,,1835,149,10,10,https://apisimpsons.fly.dev/api/personajes/find/marge,518,0,58
1687344619443,343,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-6,text,true,,1892,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/bart,343,0,53
1687344619445,348,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-9,text,true,,1225,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/krusty,348,0,50
1687344619547,332,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-10,text,true,,1835,149,10,10,https://apisimpsons.fly.dev/api/personajes/find/marge,332,0,46
1687344619537,345,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-3,text,true,,2350,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/homero,345,0,45
1687344619556,339,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-5,text,true,,1225,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/krusty,339,0,48
1687344619556,343,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-2,text,true,,1892,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/bart,343,0,41
1687344619566,350,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-4,text,true,,1835,149,10,10,https://apisimpsons.fly.dev/api/personajes/find/marge,350,0,45
1687344619563,353,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-8,text,true,,2350,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/homero,353,0,47
1687344619553,510,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-1,text,true,,3187,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/lisa,510,0,46
1687344619729,354,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-7,text,true,,3187,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/lisa,343,0,45
1687344619794,344,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-9,text,true,,1225,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/krusty,344,0,47
1687344619786,352,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-6,text,true,,1892,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/bart,352,0,51
1687344619882,344,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-3,text,true,,1835,149,10,10,https://apisimpsons.fly.dev/api/personajes/find/marge,344,0,46
1687344619900,569,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-2,text,true,,1892,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/bart,569,0,67
1687344619880,591,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-10,text,true,,2350,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/homero,591,0,54
1687344619896,586,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-5,text,true,,3187,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/lisa,586,0,48
1687344619917,575,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-4,text,true,,1225,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/krusty,575,0,281
1687344619917,576,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-8,text,true,,2350,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/homero,576,0,282
1687344620139,378,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-9,text,true,,1892,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/bart,378,0,81
1687344620063,456,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-1,text,true,,1835,149,10,10,https://apisimpsons.fly.dev/api/personajes/find/marge,456,0,152
